Phase,Personne,Groupe,ID,Tache,Points,Reference_cours_ou_commentaire
Phase 2,P1,BD,BD-2.2,Index email id_proprietaire FK,1,Hors cours - auto-formation SQL
Phase 2,P1,BD,BD-2.3,Implementer Database reel (PDO SQLite Singleton),2,Ch8 - Singleton (PDO non vu - auto-formation)
Phase 2,P1,BD,BD-2.4,Gestion exceptions PDO + wrapper securise,2,Hors cours - auto-formation PDO
Phase 2,P1,BD,BD-2.5,UtilisateurRepository (find create update delete searchByEmail),3,Repository cite par sujet TER mais non couvert en cours - auto-formation (alternative DAO)
Phase 2,P1,BD,BD-2.6,PaquetRepository (CRUD + findByOwner + findShared),3,Repository (sujet TER) - hors cours
Phase 2,P1,BD,BD-2.7,QuestionRepository (CRUD + findByPaquet),2,Repository (sujet TER) - hors cours
Phase 2,P1,BD,BD-2.8,PartageRepository (create list revoke),2,Repository (sujet TER) - hors cours
Phase 2,P1,BD,BD-2.9,Script reset.php (drop + recreate + seed),1,Hors cours - auto-formation
Phase 2,P1,BD,BD-2.10,Script de backup/restore (.sql dump),1,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.1,Router JS (hashchange + History API),3,Hors cours - auto-formation jQuery / History API
Phase 2,P2,Backend,BACK-2.2,Mapping routes vers vues (login register dashboard edit study profil),2,Hors cours - auto-formation JS SPA
Phase 2,P2,Backend,BACK-2.3,Route 404 + redirection fallback,1,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.4,Service AjaxService (wrapper $.ajax base URL headers),2,Hors cours - auto-formation jQuery AJAX
Phase 2,P2,Backend,BACK-2.5,Intercepteur 401 vers redirection login,2,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.6,Loader/spinner global pendant requetes,1,Hors cours - auto-formation CSS/jQuery
Phase 2,P2,Backend,BACK-2.7,Middleware d'erreurs PHP (try/catch vers JSON propre),2,Hors cours - auto-formation PHP (exceptions OO Ch5-6 applicables)
Phase 2,P2,Backend,BACK-2.8,Logger applicatif Singleton fichier,2,Ch8 - Singleton (2eme occurrence du pattern)
Phase 2,P2,Backend,BACK-2.9,Composant toast d'erreur/succes cote front,2,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.10,Factory de controleurs (selon route - resolution dynamique),2,Ch8 - pattern Factory
Phase 2,P3,Backend,AUTH-2.1,AuthController::register (password_hash BCRYPT),3,Hors cours - hachage cite par sujet TER (auto-formation password_hash)
Phase 2,P3,Backend,AUTH-2.2,AuthController::login (password_verify + session_start),3,Hors cours - sessions PHP citees par sujet TER comme auto-formation
Phase 2,P3,Backend,AUTH-2.3,AuthController::logout (session_destroy),1,Hors cours - auto-formation
Phase 2,P3,Backend,AUTH-2.4,Middleware checkAuth pour endpoints proteges,2,Hors cours - auto-formation
Phase 2,P3,Backend,AUTH-2.5,Validation serveur register (regex email MDP >= 6 date AAAAMMJJ),2,Hors cours - regex citees par sujet TER (auto-formation)
Phase 2,P3,Backend,AUTH-2.6,Gestion contrainte unicite email + retour 409,1,Hors cours - auto-formation
Phase 2,P3,Frontend,AUTH-2.7,Vue Login (HTML5 + binding $.ajax),2,Hors cours - auto-formation HTML/jQuery
Phase 2,P3,Frontend,AUTH-2.8,Vue Register (HTML5 + double saisie MDP),2,Hors cours - auto-formation
Phase 2,P3,Frontend,AUTH-2.9,Validation JS register (regex MDP >= 6 dates confirmation),3,Hors cours - regex/JS auto-formation (sujet TER l'impose)
Phase 2,P3,Frontend,AUTH-2.10,Affichage erreurs sur fond rouge + messages explicatifs,2,Hors cours - auto-formation CSS/JS
Phase 2,P3,Frontend,AUTH-2.11,Liens Login <-> Register + redirection post-inscription,1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.1,Vue edition paquet (liste des questions),2,Hors cours - auto-formation HTML/jQuery
Phase 2,P4,Frontend,FRONT-2.2,Formulaire ajout question (Q + R + difficulte),2,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.3,Edition inline d'une question existante,2,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.4,Suppression d'une question (modale de confirmation),1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.5,Validation JS (Q et R non vides),1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.6,Vue Study (carte courante + structure navigation),3,Hors cours - auto-formation (structure derive du diagramme etats-transitions Ch5-6)
Phase 2,P4,Frontend,FRONT-2.7,Effet flip CSS3 (rotation 3D transform),2,Hors cours - auto-formation CSS3 transform
Phase 2,P4,Frontend,FRONT-2.8,Boutons Check/Bad + binding API,1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.9,Fleches gauche/droite (clic + clavier),2,Hors cours - auto-formation JS evenements
Phase 2,P4,Frontend,FRONT-2.10,Ecran recapitulatif de fin de session,2,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.11,Compteur score live dans le header de session,2,Hors cours - auto-formation jQuery
Phase 2,P4,Frontend,FRONT-2.12,Appel API fin de session (last_score calcul best_score),2,Hors cours - auto-formation AJAX
Phase 2,P4,Frontend,FRONT-2.13,Affichage Dernier/Best sur les cartes-paquet du dashboard,1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.14,Pattern State pour gestion de session study (Q_affichee R_revelee Session_finie),2,Ch8 - pattern State (cible le diagramme DESIGN-0.4)
Phase 2,P5,Fullstack,PAQUET-1.1,GET /api/paquets (mes paquets tri date desc),2,Hors cours - auto-formation API REST
Phase 2,P5,Fullstack,PAQUET-1.2,POST /api/paquets (titre <= 150 theme),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQUET-1.3,PUT /api/paquets/:id (edition controle proprietaire),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQUET-1.4,DELETE /api/paquets/:id (cascade questions + partages),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQUET-1.5,Vue creation/edition paquet (titre + theme),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQUET-2.6,Validation serveur titre obligatoire / <= 150 / contenu requis,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQUET-2.7,GET /api/paquets/shared (paquets recus tri date partage),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,CARD-1.1,Branchement front Mes Flashcards sur l'API,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,CARD-1.2,Branchement front Partagees avec moi sur l'API,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,CARD-1.3,Confirmation tri date desc cote serveur (SQL ORDER BY),1,Hors cours - auto-formation SQL
Phase 2,P5,Fullstack,SHARE-1.1,GET /api/users/search?q= (auto-completion email),3,Hors cours - auto-formation (auto-completion citee par sujet TER)
Phase 2,P5,Fullstack,SHARE-1.2,POST /api/paquets/:id/share (ajout destinataire),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,SHARE-1.3,DELETE /api/paquets/:id/share/:userId,1,Hors cours - auto-formation
Phase 2,P5,Fullstack,AUTOCOMP-1.1,UI champ auto-completion (jQuery UI autocomplete),3,Hors cours - auto-formation jQuery UI
Phase 2,P5,Fullstack,SHARE-1.4,Liste des utilisateurs partages (badges + retrait),2,Hors cours - auto-formation HTML/CSS
Phase 2,P5,Fullstack,NOTIF-1.1,Pattern Observer PartageNotifier (event sur creation partage),3,Ch8 - pattern Observer (sujet + observateurs)
Phase 2,P5,Fullstack,NOTIF-1.2,GET /api/notifications (non lues + historique),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,NOTIF-1.3,PUT /api/notifications/:id/read,1,Hors cours - auto-formation
Phase 2,P5,Fullstack,NOTIF-1.4,Cloche notification dans header + badge compteur,2,Hors cours - auto-formation CSS/jQuery
Phase 2,P5,Fullstack,MISC-1.1,Polling JS (30 s) pour rafraichir le compteur,1,Hors cours - auto-formation setInterval (alternative: WebSocket non vu non requis)
Phase 2,P5,Fullstack,MISC-1.2,Pattern Strategy pour calcul de score selon difficulte (Facile Moyen Difficile),2,Ch8 - pattern Strategy
Phase 3,P1,Documentation,DOC-BD.1,Doc MCD + MLD (schema + commentaires),2,Derive Ch3-4 (modelisation) - mapping relationnel hors cours
Phase 3,P1,Documentation,DOC-BD.2,Doc contraintes et regles metier BD,1,Documentation - autonome (OCL Ch3-4 mentionnable)
Phase 3,P1,Documentation,DOC-BD.3,Doc scripts install / seed / reset,1,Documentation - autonome
Phase 3,P2,Documentation,DOC-ARCH.1,Justification de l'architecture MVC (rapport),2,Ch8 - MVC/MVP/MVVM (comparaison attendue)
Phase 3,P2,Documentation,DOC-ARCH.2,Doc diagramme de composants,1,Hors cours strict (diagramme deploiement non couvert) - se baser sur composants UML 2
Phase 3,P2,Documentation,DOC-ARCH.3,Doc patrons utilises (Singleton Factory Observer Strategy State) avec extraits de code,3,Ch8 - design patterns (5 patterns minimum exiges par sujet TER)
Phase 3,P2,Documentation,DOC-ARCH.4,Doc diagrammes de sequence (login partage session Anki),2,Ch3-4 - sequences User-System et Object-Object
Phase 3,P3,Documentation,DOC-AUTH.1,Doc sessions PHP (cycle de vie cookies),1,Hors cours - auto-formation (sujet TER l'exige)
Phase 3,P3,Documentation,DOC-AUTH.2,Doc hachage (algorithme cout salage),1,Hors cours - sujet TER (auto-formation)
Phase 3,P3,Documentation,DOC-AUTH.3,Doc validation client/serveur (matrice regles),1,Hors cours - regex auto-formation
Phase 3,P3,Documentation,DOC-AUTH.4,Doc regles d'acces + middleware,1,Documentation - autonome
Phase 3,P4,Documentation,DOC-UI.1,Charte graphique + themes Dark/Light,2,Hors cours - auto-formation UX
Phase 3,P4,Documentation,DOC-UI.2,Parcours utilisateur (wireframes commentes),2,Lien Ch3-4 cas d'utilisation (mais wireframes hors cours)
Phase 3,P4,Documentation,DOC-UI.3,Justification choix UX (flip navigation feedback),1,Hors cours
Phase 3,P5,Documentation,DOC-FONC.1,Doc CRUD paquets / questions,1,Documentation - autonome
Phase 3,P5,Documentation,DOC-FONC.2,Doc partage + auto-completion,2,Documentation - autonome
Phase 3,P5,Documentation,DOC-FONC.3,Doc notifications (Observer),1,Ch8 - Observer (illustrer le pattern par cet usage)
Phase 3,P5,Documentation,DOC-FONC.4,Doc session Anki + scoring,1,Lien Ch5-6 (etats-transitions) + Ch8 (Strategy/State)
Phase 3,Tous,QA,QA-1,Plan de tests (matrice fonctionnalites x comptes test),2,Hors cours - autonome
Phase 3,Tous,QA,QA-2,Tests inscription / connexion / deconnexion,1,Hors cours - autonome
Phase 3,Tous,QA,QA-3,Tests CRUD paquets et questions,2,Hors cours - autonome
Phase 3,Tous,QA,QA-4,Tests partage entre comptes,2,Hors cours - autonome
Phase 3,Tous,QA,QA-5,Tests session Anki (flip score navigation fin),2,Hors cours - autonome
Phase 3,Tous,QA,QA-6,Tests Dark/Light + responsive,1,Hors cours - autonome
Phase 3,Tous,QA,QA-7,Validation W3C HTML + CSS2,1,Hors cours - exigence sujet TER (auto-formation)
Phase 3,Tous,QA,QA-8,Tests securite (injection SQL XSS hijacking session),2,Hors cours - auto-formation securite web
Phase 3,Tous,QA,QA-9,installation.txt final + verification archive projet-progweb-gN.zip,1,Documentation - autonome
Phase 3,Tous,QA,QA-10,Compilation rapport.pdf (fusion des docs),3,Documentation - autonome
Phase 3,Tous,QA,QA-11,Revue SOLID du code complet (SRP OCP LSP ISP DIP) + grille code smells,3,Ch8 - principes SOLID et code smells (TD7-8)
